run_id,strategy,seed,step,state_before,state_after,locked
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,5,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,6,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,7,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,8,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,9,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,10,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,7,track,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,8,track,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,9,verify,track,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,10,track,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,11,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,12,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,13,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260902,short_pulse,20260902,14,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,2,track,track,True
