import time: self [us] | cumulative | imported package
import time:       929 |        929 |                 numpy.lib.stride_tricks
import time:      1093 |      35315 |               numpy.lib._index_tricks_impl
import time:      1144 |      36458 |             numpy.lib._arraypad_impl
import time:      1438 |       1438 |             numpy.lib._arraysetops_impl
import time:      1083 |       1083 |             numpy.lib._arrayterator_impl
import time:      1067 |       1067 |             numpy.lib._nanfunctions_impl
import time:       526 |        526 |                 _weakrefset
import time:       836 |       1362 |               weakref
import time:      1071 |       1071 |                     textwrap
import time:      1291 |       2361 |                   numpy.lib._utils_impl
import time:      1084 |       3445 |                 numpy.lib._format_impl
import time:       866 |       4311 |               numpy.lib.format
import time:       907 |        907 |               numpy.lib._datasource
import time:      1098 |       1098 |               numpy.lib._iotools
import time:      1405 |       9081 |             numpy.lib._npyio_impl
import time:       873 |        873 |                 numpy.lib._ufunclike_impl
import time:      1012 |       1884 |               numpy.lib._type_check_impl
import time:      1089 |       2973 |             numpy.lib._polynomial_impl
import time:       995 |        995 |             numpy.lib._shape_base_impl
import time:       710 |        710 |             numpy.lib._version
import time:       711 |        711 |             numpy.lib.introspect
import time:       785 |        785 |             numpy.lib.mixins
import time:       679 |        679 |             numpy.lib.npyio
import time:       944 |        944 |               numpy.lib._scimath_impl
import time:       705 |       1649 |             numpy.lib.scimath
import time:      1242 |      58866 |           numpy.lib
import time:       714 |        714 |           numpy._array_api_info
import time:      8719 |     118973 |         numpy
import time:       865 |     132683 |       qutip.settings
import time:       559 |        559 |       qutip.version
import time:        69 |         69 |         atexit
import time:        53 |         53 |               _opcode
import time:       613 |        613 |               _opcode_metadata
import time:       547 |       1212 |             opcode
import time:      1099 |       2310 |           dis
import time:       453 |        453 |             token
import time:        41 |         41 |             _tokenize
import time:      1126 |       1619 |           tokenize
import time:      2171 |       6099 |         inspect
import time:        64 |         64 |           _locale
import time:      1127 |       1191 |         locale
import time:       460 |        460 |             _colorize
import time:      1073 |       1532 |           traceback
import time:        38 |         38 |             _string
import time:       737 |        774 |           string
import time:       750 |        750 |           threading
import time:      1544 |       4599 |         logging
import time:       506 |        506 |             copy
import time:       746 |       1252 |           dataclasses
import time:       617 |       1869 |         pprint
import time:        71 |         71 |           zlib
import time:       620 |        620 |             _compression
import time:      1221 |       1221 |             _bz2
import time:       568 |       2408 |           bz2
import time:      1455 |       1455 |             _lzma
import time:       656 |       2111 |           lzma
import time:       895 |       5484 |         shutil
import time:       829 |        829 |           signal
import time:       195 |        195 |           fcntl
import time:        43 |         43 |           msvcrt
import time:      1060 |       2125 |         subprocess
import time:        53 |         53 |               _bisect
import time:       517 |        569 |             bisect
import time:        33 |         33 |             _random
import time:       755 |       1356 |           random
import time:       659 |       2015 |         tempfile
import time:       645 |        645 |           packaging
import time:       519 |        519 |           packaging._structures
import time:      2357 |       3520 |         packaging.version
import time:       768 |        768 |           matplotlib._api.deprecation
import time:       983 |       1750 |         matplotlib._api
import time:       441 |        441 |         matplotlib._version
import time:       681 |        681 |           gzip
import time:       593 |        593 |           shlex
import time:      1582 |       1582 |           matplotlib._c_internal_utils
import time:      1122 |       3976 |         matplotlib.cbook
import time:       795 |        795 |         matplotlib._docstring
import time:       666 |        666 |             matplotlib.backends.registry
import time:       464 |       1129 |           matplotlib.backends
import time:        87 |         87 |               binascii
import time:       758 |        844 |             base64
import time:      1000 |       1000 |               PIL._version
import time:       588 |       1588 |             PIL
import time:      2946 |       2946 |               PIL.ExifTags
import time:       395 |        395 |                 PIL._deprecate
import time:       906 |       1301 |               PIL.ImageMode
import time:      1057 |       1057 |               PIL.TiffTags
import time:       487 |        487 |               PIL._binary
import time:      1123 |       1123 |                   numpy._typing._add_docstring
import time:       703 |       1826 |                 numpy.typing
import time:       644 |       2469 |               PIL._typing
import time:       446 |        446 |               PIL._util
import time:       551 |        551 |                       xml
import time:       544 |       1094 |                     xml.parsers
import time:      1840 |       1840 |                     pyexpat
import time:       602 |       3535 |                   xml.parsers.expat
import time:       649 |       4184 |                 defusedxml.common
import time:       595 |       4779 |               defusedxml
import time:       526 |        526 |                   xml.etree
import time:       724 |        724 |                   xml.etree.ElementPath
import time:      1611 |       1611 |                   _elementtree
import time:      1286 |       4145 |                 xml.etree.ElementTree
import time:         5 |          5 |                 _elementtree
import time:      1512 |       5661 |               defusedxml.ElementTree
import time:      1707 |       1707 |               PIL._imaging
import time:       374 |        374 |                   cffi.lock
import time:       418 |        418 |                   cffi.error
import time:       712 |        712 |                   cffi.model
import time:      1167 |       2669 |                 cffi.api
import time:       709 |       3378 |               cffi
import time:      2010 |      26235 |             PIL.Image
import time:       378 |        378 |               PIL.ImageChops
import time:       760 |        760 |               PIL.ImageFile
import time:        91 |         91 |                 array
import time:       464 |        464 |                 PIL.GimpGradientFile
import time:       409 |        409 |                 PIL.GimpPaletteFile
import time:       437 |        437 |                 PIL.ImageColor
import time:       409 |        409 |                 PIL.PaletteFile
import time:       452 |       2259 |               PIL.ImagePalette
import time:       400 |        400 |               PIL.ImageSequence
import time:      1138 |       4933 |             PIL.PngImagePlugin
import time:       838 |        838 |             matplotlib._cm
import time:      1006 |       1006 |                   matplotlib._path
import time:       704 |        704 |                     matplotlib.bezier
import time:       807 |       1511 |                   matplotlib.path
import time:      3948 |       6464 |                 matplotlib.transforms
import time:      1469 |       7932 |               matplotlib.ticker
import time:      1040 |       8971 |             matplotlib.scale
import time:      1172 |       1172 |             matplotlib._image
import time:      1070 |       1070 |             matplotlib._color_data
import time:      1872 |      47520 |           matplotlib.colors
import time:       950 |        950 |               pyparsing.util
import time:      1367 |       1367 |                 pyparsing.unicode
import time:      1597 |       2964 |               pyparsing.exceptions
import time:       696 |        696 |               pyparsing.actions
import time:       635 |        635 |                 pyparsing.results
import time:      6526 |       7160 |               pyparsing.core
import time:      1200 |       1200 |                     html.entities
import time:       851 |       2051 |                   html
import time:        31 |       2081 |                 html.entities
import time:      2725 |       4805 |               pyparsing.helpers
import time:       941 |        941 |               pyparsing.testing
import time:      2761 |       2761 |               pyparsing.common
import time:      1025 |      21300 |             pyparsing
import time:       741 |      22040 |           matplotlib._fontconfig_pattern
import time:       911 |        911 |           matplotlib._enums
import time:       694 |        694 |           cycler
import time:      1083 |      73374 |         matplotlib.rcsetup
