import time: self [us] | cumulative | imported package
import time:       459 |        459 |                           scipy.sparse.linalg._isolve.lsqr
import time:       404 |        404 |                           scipy.sparse.linalg._isolve.lsmr
import time:       450 |        450 |                           scipy.sparse.linalg._isolve.tfqmr
import time:       899 |       5543 |                         scipy.sparse.linalg._isolve
import time:      1076 |       1076 |                             scipy.sparse.linalg._dsolve._superlu
import time:       184 |        184 |                               scikits
import time:        24 |        208 |                             scikits.umfpack
import time:       957 |       2240 |                           scipy.sparse.linalg._dsolve.linsolve
import time:       541 |        541 |                           scipy.sparse.linalg._dsolve._add_newdocs
import time:       441 |       3221 |                         scipy.sparse.linalg._dsolve
import time:      1345 |       1345 |                                 scipy._lib.decorator
import time:       715 |       2060 |                               scipy._lib._threadsafety
import time:      1161 |       1161 |                               scipy.sparse.linalg._eigen.arpack._arpack
import time:      1096 |       4316 |                             scipy.sparse.linalg._eigen.arpack.arpack
import time:       594 |       4909 |                           scipy.sparse.linalg._eigen.arpack
import time:       840 |        840 |                             scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       814 |       1654 |                           scipy.sparse.linalg._eigen.lobpcg
import time:       154 |        154 |                               scipy.sparse.linalg._propack
import time:      1277 |       1277 |                               scipy.sparse.linalg._propack._spropack
import time:      1205 |       1205 |                               scipy.sparse.linalg._propack._dpropack
import time:       900 |        900 |                               scipy.sparse.linalg._propack._cpropack
import time:      1111 |       1111 |                               scipy.sparse.linalg._propack._zpropack
import time:       805 |       5448 |                             scipy.sparse.linalg._svdp
import time:      1376 |       6824 |                           scipy.sparse.linalg._eigen._svds
import time:       459 |      13844 |                         scipy.sparse.linalg._eigen
import time:       438 |        438 |                             scipy.sparse.linalg._onenormest
import time:       569 |       1007 |                           scipy.sparse.linalg._expm_multiply
import time:       774 |       1780 |                         scipy.sparse.linalg._matfuncs
import time:       426 |        426 |                         scipy.sparse.linalg._norm
import time:       678 |        678 |                         scipy.sparse.linalg._special_sparse_arrays
import time:       399 |        399 |                         scipy.sparse.linalg.isolve
import time:       389 |        389 |                         scipy.sparse.linalg.dsolve
import time:       436 |        436 |                         scipy.sparse.linalg.interface
import time:       421 |        421 |                         scipy.sparse.linalg.eigen
import time:       385 |        385 |                         scipy.sparse.linalg.matfuncs
import time:       702 |      28219 |                       scipy.sparse.linalg
import time:       413 |        413 |                         scipy.optimize._dcsrch
import time:       482 |        895 |                       scipy.optimize._linesearch
import time:       845 |        845 |                         scipy.optimize._group_columns
import time:       578 |       1423 |                       scipy.optimize._numdiff
import time:       586 |        586 |                         scipy.optimize._hessian_update_strategy
import time:       776 |       1362 |                       scipy.optimize._differentiable_functions
import time:      2520 |      34417 |                     scipy.optimize._optimize
import time:       598 |        598 |                         scipy.optimize._trustregion
import time:       517 |       1114 |                       scipy.optimize._trustregion_dogleg
import time:       415 |        415 |                       scipy.optimize._trustregion_ncg
import time:      1042 |       1042 |                             scipy._lib.messagestream
import time:      1060 |       2101 |                           scipy.optimize._trlib._trlib
import time:       505 |       2606 |                         scipy.optimize._trlib
import time:       358 |       2963 |                       scipy.optimize._trustregion_krylov
import time:       873 |        873 |                       scipy.optimize._trustregion_exact
import time:       701 |        701 |                           scipy.optimize._constraints
import time:       206 |        206 |                                 sksparse
import time:        31 |        237 |                               sksparse.cholmod
import time:       497 |        733 |                             scipy.optimize._trustregion_constr.projections
import time:       401 |        401 |                             scipy.optimize._trustregion_constr.qp_subproblem
import time:       600 |       1733 |                           scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       434 |        434 |                           scipy.optimize._trustregion_constr.canonical_constraint
import time:       510 |        510 |                           scipy.optimize._trustregion_constr.tr_interior_point
import time:       467 |        467 |                           scipy.optimize._trustregion_constr.report
import time:       830 |       4674 |                         scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       851 |       5525 |                       scipy.optimize._trustregion_constr
import time:       917 |        917 |                         scipy.optimize._lbfgsb
import time:       503 |       1420 |                       scipy.optimize._lbfgsb_py
import time:       650 |        650 |                         scipy.optimize._moduleTNC
import time:       535 |       1184 |                       scipy.optimize._tnc
import time:       710 |        710 |                       scipy.optimize._cobyla_py
import time:       386 |        386 |                       scipy.optimize._cobyqa_py
import time:      1244 |       1244 |                         scipy.optimize._slsqplib
import time:       685 |       1928 |                       scipy.optimize._slsqp_py
import time:       968 |      17482 |                     scipy.optimize._minimize
import time:       705 |        705 |                         scipy.optimize._minpack
import time:       704 |        704 |                               scipy.optimize._lsq.common
import time:       565 |       1269 |                             scipy.optimize._lsq.trf
import time:       470 |        470 |                             scipy.optimize._lsq.dogbox
import time:       990 |       2728 |                           scipy.optimize._lsq.least_squares
import time:       794 |        794 |                               scipy.optimize._lsq.givens_elimination
import time:       392 |       1185 |                             scipy.optimize._lsq.trf_linear
import time:       401 |        401 |                             scipy.optimize._lsq.bvls
import time:       470 |       2055 |                           scipy.optimize._lsq.lsq_linear
import time:       569 |       5352 |                         scipy.optimize._lsq
import time:       802 |       6859 |                       scipy.optimize._minpack_py
import time:       464 |        464 |                       scipy.optimize._spectral
import time:      1664 |       1664 |                       scipy.optimize._nonlin
import time:       750 |       9735 |                     scipy.optimize._root
import time:       823 |        823 |                         scipy.optimize._zeros
import time:      1216 |       2039 |                       scipy.optimize._zeros_py
import time:       695 |       2733 |                     scipy.optimize._root_scalar
import time:       807 |        807 |                     scipy.optimize._nnls
import time:      1574 |       1574 |                     scipy.optimize._basinhopping
import time:       558 |        558 |                           scipy.optimize._highspy
import time:      5008 |       5008 |                           scipy.optimize._highspy._core
import time:      1228 |       1228 |                           scipy.optimize._highspy._highs_options
import time:       905 |       7698 |                         scipy.optimize._highspy._highs_wrapper
import time:       758 |       8455 |                       scipy.optimize._linprog_highs
import time:       196 |        196 |                                       uarray
import time:       861 |        861 |                                           scipy._lib._uarray._uarray
import time:       773 |       1634 |                                         scipy._lib._uarray._backend
import time:       380 |       2013 |                                       scipy._lib._uarray
import time:       486 |       2693 |                                     scipy._lib.uarray
import time:      1072 |       3765 |                                   scipy.fft._basic
import time:       821 |        821 |                                   scipy.fft._realtransforms
import time:       687 |        687 |                                     scipy.fft._fftlog_backend
import time:       711 |       1398 |                                   scipy.fft._fftlog
import time:      1175 |       1175 |                                         scipy.fft._pocketfft.pypocketfft
import time:       528 |        528 |                                         scipy.fft._pocketfft.helper
import time:       749 |       2451 |                                       scipy.fft._pocketfft.basic
import time:       619 |        619 |                                       scipy.fft._pocketfft.realtransforms
import time:       565 |       3634 |                                     scipy.fft._pocketfft
import time:       746 |       4379 |                                   scipy.fft._helper
import time:       404 |        404 |                                     scipy.fft._basic_backend
import time:       412 |        412 |                                     scipy.fft._realtransforms_backend
import time:       627 |       1443 |                                   scipy.fft._backend
import time:       527 |      12330 |                                 scipy.fft
import time:      1086 |      13416 |                               scipy.linalg._decomp_interpolative
import time:       543 |      13959 |                             scipy.linalg.interpolative
import time:       683 |      14642 |                           scipy.optimize._remove_redundancy
import time:       864 |      15506 |                         scipy.optimize._linprog_util
import time:       199 |        199 |                         sksparse
import time:       148 |        148 |                           scikits
import time:        17 |        165 |                         scikits.umfpack
import time:       870 |      16739 |                       scipy.optimize._linprog_ip
import time:       484 |        484 |                       scipy.optimize._linprog_simplex
import time:       818 |        818 |                         scipy.optimize._bglu_dense
import time:       560 |       1378 |                       scipy.optimize._linprog_rs
import time:       498 |        498 |                       scipy.optimize._linprog_doc
import time:       997 |      28549 |                     scipy.optimize._linprog
import time:       883 |        883 |                     scipy.optimize._lsap
import time:      2196 |       2196 |                     scipy.optimize._differentialevolution
import time:       831 |        831 |                       scipy.optimize._pava_pybind
import time:       739 |       1570 |                     scipy.optimize._isotonic
import time:      1235 |       1235 |                         scipy.spatial._ckdtree
import time:       846 |       2081 |                       scipy.spatial._kdtree
import time:      1708 |       1708 |                       scipy.spatial._qhull
import time:       700 |        700 |                         scipy.spatial._voronoi
import time:       687 |       1387 |                       scipy.spatial._spherical_voronoi
import time:       827 |        827 |                       scipy.spatial._plotutils
import time:       553 |        553 |                       scipy.spatial._procrustes
import time:       770 |        770 |                           scipy.spatial._hausdorff
import time:      1056 |       1056 |                           scipy.spatial._distance_pybind
import time:       636 |        636 |                           scipy.spatial._distance_wrap
import time:      2603 |       5063 |                         scipy.spatial.distance
import time:       461 |       5524 |                       scipy.spatial._geometric_slerp
import time:       474 |        474 |                       scipy.spatial.ckdtree
import time:       454 |        454 |                       scipy.spatial.kdtree
import time:       412 |        412 |                       scipy.spatial.qhull
import time:      3212 |       3212 |                                 scipy.constants._codata
import time:      2305 |       2305 |                                 scipy.constants._constants
import time:       454 |        454 |                                 scipy.constants.codata
import time:       460 |        460 |                                 scipy.constants.constants
import time:      1059 |       7487 |                               scipy.constants
import time:       550 |       8037 |                             scipy.spatial.transform._rotation_groups
import time:      1338 |       9374 |                           scipy.spatial.transform._rotation
import time:      1196 |      10570 |                         scipy.spatial.transform._rigid_transform
import time:       529 |        529 |                         scipy.spatial.transform._rotation_spline
import time:       374 |        374 |                         scipy.spatial.transform.rotation
import time:       663 |      12134 |                       scipy.spatial.transform
import time:       419 |        419 |                         scipy.optimize._shgo_lib
import time:      3471 |       3471 |                           _decimal
import time:       560 |       4031 |                         decimal
import time:       756 |        756 |                         scipy.optimize._shgo_lib._vertex
import time:       695 |       5899 |                       scipy.optimize._shgo_lib._complex
import time:      1623 |      33072 |                     scipy.optimize._shgo
import time:      1441 |       1441 |                     scipy.optimize._dual_annealing
import time:       534 |        534 |                     scipy.optimize._qap
import time:       800 |        800 |                       scipy.optimize._direct
import time:       660 |       1459 |                     scipy.optimize._direct_py
import time:       463 |        463 |                     scipy.optimize._milp
import time:       427 |        427 |                     scipy.optimize.cobyla
import time:       314 |        314 |                     scipy.optimize.lbfgsb
import time:       351 |        351 |                     scipy.optimize.linesearch
import time:       391 |        391 |                     scipy.optimize.minpack
import time:       433 |        433 |                     scipy.optimize.minpack2
import time:       422 |        422 |                     scipy.optimize.moduleTNC
import time:       406 |        406 |                     scipy.optimize.nonlin
import time:       372 |        372 |                     scipy.optimize.optimize
import time:       375 |        375 |                     scipy.optimize.slsqp
import time:       363 |        363 |                     scipy.optimize.tnc
import time:       370 |        370 |                     scipy.optimize.zeros
import time:      1106 |     142232 |                   scipy.optimize
import time:       827 |        827 |                   scipy.interpolate._dierckx
import time:       969 |     144028 |                 scipy.interpolate._bsplines
import time:       450 |     146658 |               scipy.interpolate._fitpack_py
import time:       632 |        632 |               scipy.interpolate._polyint
import time:       814 |        814 |               scipy.interpolate._ppoly
import time:      1070 |       1070 |               scipy.interpolate._interpnd
import time:      1177 |     473634 |             scipy.interpolate._interpolate
import time:       778 |        778 |             scipy.interpolate._fitpack2
import time:       530 |        530 |             scipy.interpolate._rbf
import time:       804 |        804 |               scipy.interpolate._rbfinterp_pythran
import time:       765 |       1569 |             scipy.interpolate._rbfinterp
import time:       627 |        627 |             scipy.interpolate._cubic
import time:       449 |        449 |             scipy.interpolate._ndgriddata
import time:       711 |        711 |             scipy.interpolate._fitpack_repro
import time:       440 |        440 |             scipy.interpolate._pade
import time:       820 |        820 |               scipy.interpolate._rgi_cython
import time:       552 |        552 |               scipy.interpolate._ndbspline
import time:       624 |       1995 |             scipy.interpolate._rgi
import time:       522 |        522 |             scipy.interpolate._bary_rational
import time:       394 |        394 |             scipy.interpolate.fitpack
import time:       365 |        365 |             scipy.interpolate.fitpack2
import time:       459 |        459 |             scipy.interpolate.interpolate
import time:       467 |        467 |             scipy.interpolate.ndgriddata
import time:       687 |        687 |             scipy.interpolate.polyint
import time:       466 |        466 |             scipy.interpolate.rbf
import time:       480 |        480 |             scipy.interpolate.interpnd
import time:       812 |     485379 |           scipy.interpolate
import time:       294 |        294 |                     jaraco
import time:       762 |        762 |                           _queue
import time:       674 |       1435 |                         queue
import time:       586 |        586 |                         more_itertools.recipes
import time:      1284 |       3304 |                       more_itertools.more
import time:       554 |       3858 |                     more_itertools
import time:       895 |       5045 |                   jaraco.functools
import time:       691 |        691 |                     distutils.compat
import time:       644 |       1335 |                   distutils.compat.py39
import time:       125 |        125 |                         distutils.compilers
import time:       248 |        372 |                       distutils.compilers.C
import time:       608 |        980 |                     distutils.compilers.C.errors
import time:       534 |       1514 |                   distutils.errors
import time:       585 |       8478 |                 distutils._modified
import time:       387 |        387 |                   distutils._log
import time:       524 |        524 |                     distutils.file_util
import time:       815 |       1339 |                   distutils.dir_util
import time:       378 |        378 |                     distutils.debug
import time:       519 |        896 |                   distutils.spawn
import time:       274 |        274 |                   pwd
import time:       140 |        140 |                   grp
import time:       512 |       3545 |                 distutils.archive_util
import time:       568 |        568 |                 distutils.util
import time:       691 |      13282 |               distutils.cmd
import time:       711 |        711 |                       packaging._elffile
import time:       682 |       1392 |                     packaging._manylinux
import time:       565 |        565 |                     packaging._musllinux
import time:       604 |       2560 |                   packaging.tags
import time:      1044 |       3603 |                 packaging.utils
import time:       535 |        535 |                   getopt
import time:       763 |       1297 |                 distutils.fancy_getopt
import time:       965 |       5865 |               distutils.dist
import time:       511 |        511 |               distutils.extension
import time:      2314 |      21971 |             _distutils_hack.override
import time:       595 |        595 |                 distutils.filelist
import time:       492 |       1087 |               setuptools.monkey
import time:       470 |        470 |               distutils.log
import time:       415 |       1971 |             setuptools.logging
import time:       780 |        780 |               setuptools._imp
import time:       675 |       1455 |             setuptools.depends
import time:       502 |        502 |               setuptools._path
import time:       810 |       1312 |             setuptools.discovery
import time:      2500 |       2500 |                     packaging.specifiers
import time:      2784 |       5283 |                   packaging._tokenizer
import time:       844 |       6127 |                 packaging._parser
import time:       766 |       6892 |               packaging.markers
import time:      1053 |       1053 |                         http
import time:       703 |        703 |                             email.errors
import time:       555 |        555 |                                 email.quoprimime
import time:       499 |        499 |                                 email.base64mime
import time:       566 |        566 |                                     quopri
import time:       453 |       1019 |                                   email.encoders
import time:       539 |       1558 |                                 email.charset
import time:       953 |       3564 |                               email.header
import time:       578 |        578 |                                 email._parseaddr
import time:       788 |       1366 |                               email.utils
import time:       619 |       5548 |                             email._policybase
import time:       783 |       7033 |                           email.feedparser
import time:       631 |       7663 |                         email.parser
import time:       656 |        656 |                           email._encoded_words
import time:       432 |        432 |                           email.iterators
import time:       899 |       1985 |                         email.message
import time:      1857 |       1857 |                           _ssl
import time:      2599 |       4455 |                         ssl
import time:      1268 |      16423 |                       http.client
import time:       604 |        604 |                         urllib.response
import time:       809 |       1412 |                       urllib.error
import time:       619 |        619 |                       nturl2path
import time:      1695 |      20147 |                     urllib.request
import time:       221 |        221 |                       pwd
import time:       161 |        161 |                       grp
import time:      1621 |       2001 |                     tarfile
import time:       795 |      22942 |                   jaraco.context
import time:       764 |        764 |                   importlib.resources._adapters
import time:       440 |        440 |                       importlib.resources._itertools
import time:       934 |       1374 |                     importlib.resources.readers
import time:       484 |       1857 |                   importlib.readers
import time:      1669 |      27230 |                 jaraco.text
import time:       402 |        402 |                 setuptools._importlib
import time:       321 |        321 |                 setuptools._itertools
import time:       457 |        457 |                 setuptools.errors
import time:       791 |      29201 |               setuptools._entry_points
import time:       487 |        487 |                 packaging.requirements
import time:       505 |        992 |               setuptools._reqs
import time:       526 |        526 |                 setuptools.warnings
import time:       646 |       1171 |               setuptools._static
import time:       390 |        390 |                   distutils.command
import time:       748 |       1138 |                 distutils.command.bdist
import time:       487 |       1625 |               setuptools.command
import time:      1305 |       1305 |                   packaging.licenses._spdx
import time:       637 |       1942 |                 packaging.licenses
import time:       818 |       2759 |               setuptools._normalization
import time:      1723 |       1723 |                     configparser
import time:       631 |       2354 |                   setuptools.config.expand
import time:       969 |       3323 |                 setuptools.config.setupcfg
import time:       600 |       3922 |               setuptools.config
import time:      1634 |       1634 |                     email._header_value_parser
import time:      1030 |       2663 |                   email.headerregistry
import time:       772 |        772 |                   setuptools.extension
import time:       744 |       4178 |                 setuptools.config._apply_pyprojecttoml
import time:       631 |       4809 |               setuptools.config.pyprojecttoml
import time:      1287 |      52655 |             setuptools.dist
import time:       435 |        435 |                 importlib.metadata._text
import time:       561 |        996 |               importlib.metadata._adapters
import time:      1916 |       2911 |             setuptools.version
import time:       763 |        763 |             setuptools._core_metadata
import time:       968 |      84002 |           setuptools
import time:       268 |        268 |               pythran
import time:       269 |        269 |                 backports_abc
import time:       135 |        135 |                 __builtin__
import time:      2444 |       2847 |               Cython.Utils
import time:       185 |        185 |                 __builtin__
import time:       418 |        418 |                 Cython.Compiler.DebugFlags
import time:       558 |        558 |                 Cython.Compiler.Options
import time:       752 |       1912 |               Cython.Compiler.Errors
import time:       166 |        166 |                 __builtin__
import time:      1040 |       1040 |                 Cython.Compiler.StringEncoding
import time:      1250 |       1250 |                       Cython.Plex.Actions
import time:      1311 |       1311 |                           Cython.Plex.Transitions
import time:      1267 |       1267 |                           Cython.Plex.Machines
import time:      1351 |       3928 |                         Cython.Plex.DFA
import time:       548 |        548 |                         Cython.Plex.Errors
import time:       629 |        629 |                         Cython.Plex.Regexps
import time:       636 |       5739 |                       Cython.Plex.Lexicons
import time:      1564 |       1564 |                       Cython.Plex.Scanners
import time:       518 |       9071 |                     Cython.Plex
import time:        28 |       9098 |                   Cython.Plex.Scanners
import time:       263 |        263 |                   backports_abc
import time:       543 |        543 |                   Cython.Compiler.Lexicon
import time:       422 |        422 |                   Cython.Compiler.Future
import time:      1892 |      12217 |                 Cython.Compiler.Scanning
import time:       201 |        201 |                   __builtin__
import time:       524 |        524 |                   Cython.Compiler.Naming
import time:       210 |        210 |                         cStringIO
import time:      1721 |       1931 |                       Cython.StringIOTree
import time:       149 |        149 |                       backports_abc
import time:       127 |        127 |                       __builtin__
import time:      2599 |       4805 |                     Cython.Compiler.Code
import time:      8475 |      13279 |                   Cython.Compiler.PyrexTypes
import time:      1541 |       1541 |                   Cython.Compiler.TypeSlots
import time:      1392 |      16936 |                 Cython.Compiler.Symtab
import time:       783 |        783 |                 Cython.Compiler.CmdLine
import time:     10634 |      41774 |               Cython.Compiler.Main
import time:      1594 |      48394 |             Cython.Build.Dependencies
import time:       564 |      48957 |           Cython.Build
import time:       384 |        384 |               filelock._error
import time:      1224 |       1607 |             filelock._api
import time:       424 |        424 |               filelock._util
import time:       441 |        865 |             filelock._soft
import time:       465 |        465 |             filelock._unix
import time:       482 |        482 |             filelock._windows
import time:       531 |        531 |                   asyncio.constants
import time:       434 |        434 |                   asyncio.coroutines
import time:       449 |        449 |                     asyncio.format_helpers
import time:       389 |        389 |                       asyncio.base_futures
import time:       531 |        531 |                       asyncio.exceptions
import time:       477 |        477 |                       asyncio.base_tasks
import time:       804 |       2199 |                     _asyncio
import time:       631 |       3278 |                   asyncio.events
import time:       474 |        474 |                   asyncio.futures
import time:       436 |        436 |                   asyncio.protocols
import time:       475 |        475 |                     asyncio.transports
import time:       337 |        337 |                     asyncio.log
import time:       785 |       1596 |                   asyncio.sslproto
import time:       467 |        467 |                       asyncio.mixins
import time:       870 |       1336 |                     asyncio.locks
import time:       656 |        656 |                       asyncio.queues
import time:       813 |        813 |                       asyncio.timeouts
import time:      1035 |       2504 |                     asyncio.tasks
import time:       478 |       4317 |                   asyncio.staggered
import time:       765 |        765 |                   asyncio.trsock
import time:      1257 |      13086 |                 asyncio.base_events
import time:       640 |        640 |                 asyncio.runners
import time:       670 |        670 |                 asyncio.streams
import time:       613 |        613 |                 asyncio.subprocess
import time:       533 |        533 |                 asyncio.taskgroups
import time:       406 |        406 |                 asyncio.threads
import time:      1731 |       1731 |                   _overlapped
import time:       709 |        709 |                   asyncio.base_subprocess
import time:       872 |        872 |                   asyncio.proactor_events
import time:       978 |        978 |                   asyncio.selector_events
import time:       742 |        742 |                   asyncio.windows_utils
import time:       956 |       5985 |                 asyncio.windows_events
import time:       731 |      22661 |               asyncio
import time:      1163 |      23824 |             filelock.asyncio
import time:       496 |        496 |             filelock.version
import time:       972 |      28707 |           filelock
import time:      1669 |       1669 |               qutip.core.data.base
import time:       635 |        635 |                         scipy.sparse.csgraph._laplacian
import time:       869 |        869 |                             scipy.sparse.csgraph._tools
import time:       486 |       1355 |                           scipy.sparse.csgraph._validation
import time:       793 |       2147 |                         scipy.sparse.csgraph._shortest_path
import time:       897 |        897 |                         scipy.sparse.csgraph._traversal
import time:      1017 |       1017 |                         scipy.sparse.csgraph._min_spanning_tree
import time:       816 |        816 |                         scipy.sparse.csgraph._flow
import time:       714 |        714 |                         scipy.sparse.csgraph._matching
import time:      1044 |       1044 |                         scipy.sparse.csgraph._reordering
import time:      2314 |       9581 |                       qutip.core.data.convert
import time:      1286 |      10866 |                     qutip.core.data.dispatch
import time:      1499 |      12364 |                   qutip.core.data.adjoint
import time:      1658 |       1658 |                     qutip.core.data.reshape
import time:      1699 |       3357 |                   qutip.core.data.trace
import time:      1887 |       1887 |                   qutip.core.data.tidyup
import time:      1840 |      19447 |                 qutip.core.data.csr
import time:      1519 |      20966 |               qutip.core.data.dia
import time:      1850 |      24484 |             qutip.core.data.dense
import time:      1907 |       1907 |             qutip.core.data.add
import time:       741 |        741 |             qutip.core.data.constant
import time:      1766 |       1766 |               qutip.core.data.properties
import time:       649 |       2414 |             qutip.core.data.eigen
import time:      1530 |       1530 |                   qutip.core.data.mul
import time:      1632 |       3161 |                 qutip.core.data.matmul
import time:      2091 |       5252 |               qutip.core.data.inner
import time:      1307 |       6559 |             qutip.core.data.expect
import time:       603 |        603 |             qutip.core.data.expm
import time:      1536 |       1536 |             qutip.core.data.kron
import time:       451 |        451 |             qutip.core.data.linalg
import time:       536 |        536 |             qutip.core.data.make
import time:      1219 |       1219 |             qutip.core.data.pow
import time:      1431 |       1431 |             qutip.core.data.project
import time:      1331 |       1331 |             qutip.core.data.ptrace
import time:       637 |        637 |             qutip.core.data.solve
import time:       427 |        427 |             qutip.core.data.extract
import time:      1765 |       1765 |             qutip.core.data.norm
import time:      2083 |       2083 |             qutip.core.data.permute
import time:       904 |        904 |             qutip.core.data._creator_utils
import time:      4281 |      53303 |           qutip.core.data
import time:       509 |        509 |             qutip.core.cy
import time:      2067 |       2575 |           qutip.core.cy.coefficient
import time:       963 |        963 |           qutip.typing
import time:       734 |     718895 |         qutip.core.coefficient
import time:      1027 |       1027 |           qutip.core.dimensions
import time:       887 |       1913 |         qutip.core.qobj
import time:      1412 |       1412 |           qutip.core.cy._element
import time:      1479 |       2890 |         qutip.core.cy.qobjevo
import time:       487 |        487 |             mpmath.usertools
import time:      4607 |       4607 |                           gmpy2.gmpy2
import time:       601 |       5207 |                         gmpy2
import time:       448 |       5654 |                       mpmath.libmp.backend
import time:       838 |        838 |                       mpmath.libmp.libintmath
import time:      1056 |       7547 |                     mpmath.libmp.libmpf
import time:       722 |        722 |                       mpmath.libmp.libelefun
import time:       844 |       1565 |                     mpmath.libmp.libmpc
import time:       893 |        893 |                       mpmath.libmp.gammazeta
import time:       769 |       1662 |                     mpmath.libmp.libhyper
import time:       780 |        780 |                     mpmath.libmp.libmpi
import time:       740 |      12292 |                   mpmath.libmp
import time:        33 |      12325 |                 mpmath.libmp.backend
import time:        64 |         64 |                       cmath
import time:       731 |        795 |                     mpmath.functions.functions
import time:       664 |        664 |                     mpmath.functions.factorials
import time:       795 |        795 |                     mpmath.functions.hypergeometric
import time:      1057 |       1057 |                     mpmath.functions.expintegrals
import time:       652 |        652 |                     mpmath.functions.bessel
import time:       532 |        532 |                     mpmath.functions.orthogonal
import time:       571 |        571 |                     mpmath.functions.theta
import time:       669 |        669 |                     mpmath.functions.elliptic
import time:       518 |        518 |                     mpmath.functions.signals
import time:       685 |        685 |                     mpmath.functions.zeta
import time:       698 |        698 |                     mpmath.functions.rszeta
import time:       567 |        567 |                     mpmath.functions.zetazeros
import time:       503 |        503 |                     mpmath.functions.qfunctions
import time:       975 |       9676 |                   mpmath.functions
import time:        20 |       9696 |                 mpmath.functions.functions
import time:       520 |        520 |                     mpmath.calculus.calculus
import time:       357 |        357 |                     mpmath.calculus.approximation
import time:      2016 |       2016 |                     mpmath.calculus.differentiation
import time:       908 |        908 |                     mpmath.calculus.extrapolation
import time:       557 |        557 |                     mpmath.calculus.polynomials
import time:       623 |       4977 |                   mpmath.calculus
import time:       718 |       5695 |                 mpmath.calculus.quadrature
import time:       762 |        762 |                 mpmath.calculus.inverselaplace
import time:       754 |        754 |                 mpmath.calculus.optimization
import time:       562 |        562 |                 mpmath.calculus.odes
import time:       780 |        780 |                     mpmath.matrices.eigen
import time:       599 |        599 |                     mpmath.matrices.eigen_symmetric
import time:       494 |       1872 |                   mpmath.matrices
import time:       660 |       2532 |                 mpmath.matrices.matrices
import time:       461 |        461 |                 mpmath.matrices.calculus
import time:       504 |        504 |                 mpmath.matrices.linalg
import time:       586 |        586 |                 mpmath.identification
import time:       586 |        586 |                   colorsys
import time:       661 |       1247 |                 mpmath.visualization
import time:       808 |      35926 |               mpmath.ctx_base
import time:       660 |        660 |               mpmath.math2
import time:       762 |        762 |               mpmath.function_docs
import time:       859 |      38207 |             mpmath.ctx_fp
import time:       782 |        782 |               mpmath.rational
import time:      2465 |       2465 |               mpmath.ctx_mp_python
import time:      1282 |       4528 |             mpmath.ctx_mp
import time:       832 |        832 |             mpmath.ctx_iv
import time:      1800 |      45852 |           mpmath
import time:       630 |        630 |           qutip.utilities
import time:       604 |        604 |           qutip.core.superoperator
import time:      1335 |      48420 |         qutip.core.environment
import time:       558 |        558 |         qutip.core.expect
import time:      1029 |       1029 |           qutip.core.operators
import time:       635 |       1663 |         qutip.core.tensor
import time:       938 |        938 |         qutip.core.states
import time:       856 |        856 |           qutip.core.superop_reps
import time:       244 |        244 |             cvxpy
import time:       874 |       1117 |           qutip.core.semidefinite
import time:       152 |        152 |           cvxpy
import time:       583 |       2707 |         qutip.core.metrics
import time:       524 |        524 |         qutip.core.subsystem_apply
import time:      1651 |       1651 |           qutip.core._brtools
import time:      1505 |       1505 |           qutip.core._brtensor
import time:       654 |       3810 |         qutip.core.blochredfield
import time:       575 |        575 |         qutip.core.energy_restricted
import time:       409 |        409 |         qutip.core.properties
import time:       582 |        582 |         qutip.core.gates
import time:       791 |     785809 |       qutip.core
import time:       747 |        747 |         qutip.solver.result
import time:       989 |        989 |         qutip.solver.multitrajresult
import time:       440 |        440 |         qutip.solver.options
import time:       509 |        509 |           qutip.solver.integrator.integrator
import time:       992 |        992 |               scipy.integrate._quadrature
import time:      1113 |       1113 |                 scipy.integrate._odepack
import time:       459 |       1572 |               scipy.integrate._odepack_py
import time:       809 |        809 |                 scipy.integrate._quadpack
import time:       762 |       1571 |               scipy.integrate._quadpack_py
import time:      1221 |       1221 |                 scipy.integrate._vode
import time:      1012 |       1012 |                 scipy.integrate._dop
import time:      1010 |       1010 |                 scipy.integrate._lsoda
import time:      1388 |       4629 |               scipy.integrate._ode
import time:       722 |        722 |               scipy.integrate._bvp
import time:       499 |        499 |                     scipy.integrate._ivp.common
import time:       484 |        484 |                     scipy.integrate._ivp.base
import time:       614 |       1595 |                   scipy.integrate._ivp.bdf
import time:       618 |        618 |                   scipy.integrate._ivp.radau
import time:       413 |        413 |                     scipy.integrate._ivp.dop853_coefficients
import time:       623 |       1035 |                   scipy.integrate._ivp.rk
import time:       528 |        528 |                   scipy.integrate._ivp.lsoda
import time:       792 |       4566 |                 scipy.integrate._ivp.ivp
import time:       580 |       5146 |               scipy.integrate._ivp
import time:       636 |        636 |               scipy.integrate._quad_vec
import time:       693 |        693 |                 scipy._lib._elementwise_iterative_method
import time:       638 |       1331 |               scipy.integrate._tanhsinh
import time:       677 |        677 |                   scipy.integrate._rules._base
import time:       448 |        448 |                   scipy.integrate._rules._genz_malik
import time:       591 |        591 |                     scipy.integrate._rules._gauss_legendre
import time:       493 |       1083 |                   scipy.integrate._rules._gauss_kronrod
import time:       531 |       2737 |                 scipy.integrate._rules
